configuracao,camadas,alpha,taxa,semente,melhor_epoca,RMSE_validacao,MAE_validacao,R2_validacao
MLP_32,"(32,)",0.0001,0.001,42,28,60.75460459343325,29.434432294601756,0.5463923704186723
MLP_32,"(32,)",0.0001,0.001,123,9,64.10585752561798,36.35588168938271,0.4949697625104391
MLP_32,"(32,)",0.0001,0.001,2026,14,62.1048139286886,33.92915559233445,0.5260063941113262
MLP_64_32,"(64, 32)",0.0001,0.001,42,14,61.7827117675705,31.510879484252175,0.5309103117905184
MLP_64_32,"(64, 32)",0.0001,0.001,123,4,62.65811242445587,33.71007362647344,0.5175230517233459
MLP_64_32,"(64, 32)",0.0001,0.001,2026,8,61.47354285766952,32.69310116124141,0.535593339577352
MLP_64_32_reg,"(64, 32)",0.001,0.0005,42,13,62.379251530590125,31.777124825078978,0.5218080374308485
MLP_64_32_reg,"(64, 32)",0.001,0.0005,123,17,61.52991269289975,33.08404232318463,0.5347412484738923
MLP_64_32_reg,"(64, 32)",0.001,0.0005,2026,17,61.27566486749741,32.3039667681207,0.5385782970057132
